Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions	Id	Common-Name
hypotaurine degradation	Inorganic Nutrient Metabolism	Nitrogen Compound Metabolism // Sulfur Compound Metabolism	Bacteria <bacteria>	Paracoccus denitrificans	acetaldehyde + NAD+ + H2O  ->  acetate + NADH + 2 H+ // 2-sulfinoacetaldehyde + H2O  ->  sulfite + acetaldehyde + H+ // pyruvate + hypotaurine  <-->  L-alanine + 2-sulfinoacetaldehyde	PWY-7387	hypotaurine degradation
UDP-<i>N</i>-acetyl-&beta;-L-fucosamine biosynthesis	Carbohydrate Biosynthesis	UDP-sugar Biosynthesis	Bacteria <bacteria>	Bacteroides fragilis // Escherichia coli O26 // Staphylococcus aureus // Pseudomonas aeruginosa // Pseudomonas aeruginosa // Pseudomonas aeruginosa	"UDP-N-acetyl-alpha-D-glucosamine  ->  UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hex-4-ulose + H2O // UDP-N-acetyl-beta-L-pneumosamine  ->  UDP-N-acetyl-beta-L-fucosamine // UDP-N-acetyl-beta-L-pneumosamine + NAD(P)+  <-  UDP-2-acetamido-2,6-dideoxy-beta-L-lyxo-4-hexulose + NAD(P)H + H+ // UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hex-4-ulose  ->  UDP-2-acetamido-2,6-dideoxy-beta-L-lyxo-4-hexulose"	PWY-7330	UDP-N-acetyl-beta-L-fucosamine biosynthesis
"3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)"	Tetrapyrrole Biosynthesis	Chlorophyllide <i>a</i> Biosynthesis	Bacteria <bacteria>	Chlorobaculum tepidum // Allochromatium vinosum // Chlorobaculum tepidum // Rhodobacter capsulatus // Cereibacter sphaeroides // Rhodopseudomonas palustris // Rhodospirillum rubrum // Rubrivivax gelatinosus	"3,8-divinyl protochlorophyllide a + 2 a reduced ferredoxin [iron-sulfur] cluster + 2 ATP + 2 H2O  ->  chlorophyllide a2 + 2 an oxidized ferredoxin [iron-sulfur] cluster + 2 ADP + 2 phosphate // 2 S-adenosyl-L-methionine + coproporphyrinogen III  ->  protoporphyrinogen IX + 2 CO2 + 2 L-methionine + 2 5'-deoxyadenosine // protoporphyrin IX + 3 a menaquinol[inner membrane]  <-  protoporphyrinogen IX + 3 a menaquinone[inner membrane] // S-adenosyl-L-methionine + 131-oxo-magnesium-protoporphyrin IX 13-monomethyl ester  ->  3,8-divinyl protochlorophyllide a + 5'-deoxyadenosine + L-methionine + 2 H+ // S-adenosyl-L-methionine + magnesium-protoporphyrin IX 13-monomethyl ester + H2O  ->  131-hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester + 5'-deoxyadenosine + L-methionine + H+ // S-adenosyl-L-methionine + 131-hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester  ->  131-oxo-magnesium-protoporphyrin IX 13-monomethyl ester + 5'-deoxyadenosine + L-methionine + H+ // S-adenosyl-L-methionine + Mg-protoporphyrin IX  ->  S-adenosyl-L-homocysteine + magnesium-protoporphyrin IX 13-monomethyl ester // ATP + protoporphyrin IX + Mg2+ + H2O  ->  Mg-protoporphyrin IX + ADP + phosphate + 3 H+ // uroporphyrinogen-III + 4 H+  ->  coproporphyrinogen III + 4 CO2"	PWY-5531	"3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)"
isethionate degradation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	Bacteria <bacteria>	a non specified bacterium (Kondo 77) // Paracoccus denitrificans	isethionate + a reduced two electron carrier + dioxygen  ->  sulfoacetaldehyde + an oxidized electron carrier + 2 H2O	PWY-2601	isethionate degradation
labdane-type diterpenes biosynthesis	Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis	Cistus	Cistus creticus	"(13E)-8alpha-hydroxylabd-13-en-15-yl diphosphate  ->  13-epi manoyl oxide + diphosphate // (13E)-8alpha-hydroxylabd-13-en-15-yl diphosphate + a reduced two electron carrier + H2O  ->  labd-13-en-8alpha-,15 diol + an oxidized electron carrier + diphosphate // (13E)-8alpha-hydroxylabd-13-en-15-yl diphosphate  ->  manoyl oxide + diphosphate // (13E)-8alpha-hydroxylabd-13-en-15-yl diphosphate  <-  geranylgeranyl diphosphate + H2O"	PWY-6645	labdane-type diterpenes biosynthesis
UDP-<i>N</i>-acetyl-&alpha;-D-fucosamine biosynthesis	Carbohydrate Biosynthesis	UDP-sugar Biosynthesis	Bacteria <bacteria>	Pseudomonas aeruginosa	"UDP-N-acetyl-alpha-D-glucosamine  ->  UDP-2-acetamido-2,6-dideoxy-alpha-D-xylo-hex-4-ulose + H2O // UDP-N-acetyl-alpha-D-fucosamine + NAD(P)+  <-  UDP-2-acetamido-2,6-dideoxy-alpha-D-xylo-hex-4-ulose + NAD(P)H + H+"	PWY-7333	UDP-N-acetyl-alpha-D-fucosamine biosynthesis
3-chlorobenzoate degradation III (via gentisate)	Aromatic Compound Degradation // Chlorinated Compound Degradation	3-Chlorobenzoate Degradation	Bacteria <bacteria>	Stenotrophomonas maltophilia // Alcaligenes sp. strain L6	3-chlorobenzoate + H2O  ->  3-hydroxybenzoate + chloride + H+ // 3-hydroxybenzoate + NADH + dioxygen + H+  ->  gentisate + NAD+ + H2O	PWY-6228	3-chlorobenzoate degradation III (via gentisate)
dimethyl sulfide biosynthesis from methionine	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	Bacteria <bacteria>	Bradyrhizobium diazoefficiens // Crocosphaera subtropica // Maricaulis maris // Mycobacterium tuberculosis // Pseudomonas deceptionensis // Pseudomonas fragi	S-adenosyl-L-methionine + methanethiol  ->  S-adenosyl-L-homocysteine + dimethyl sulfide + H+ // L-methionine + H2O  ->  methanethiol + 2-oxobutanoate + ammonium	PWY-7793	dimethyl sulfide biosynthesis from methionine
<i>cis</i>-abienol biosynthesis	Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis	Viridiplantae	Nicotiana tabacum	(13E)-8alpha-hydroxylabd-13-en-15-yl diphosphate  ->  cis-abienol + diphosphate // (13E)-8alpha-hydroxylabd-13-en-15-yl diphosphate  <-  geranylgeranyl diphosphate + H2O	PWY18C3-13	cis-abienol biosynthesis
UDP-<i>N</i>-acetyl-&alpha;-D-galactosaminuronate biosynthesis	Carbohydrate Biosynthesis	UDP-sugar Biosynthesis	Bacteria <bacteria>	Pseudomonas aeruginosa	UDP-N-acetyl-alpha-D-glucosaminouronate  ->  UDP-N-acetyl-alpha-D-galactosaminouronate // UDP-N-acetyl-alpha-D-glucosamine + 2 NAD+ + H2O  ->  UDP-N-acetyl-alpha-D-glucosaminouronate + 2 NADH + 3 H+	PWY-7336	UDP-N-acetyl-alpha-D-galactosaminuronate biosynthesis
3-chlorobenzoate degradation II (via protocatechuate)	Aromatic Compound Degradation // Chlorinated Compound Degradation	3-Chlorobenzoate Degradation	Bacteria <bacteria>	Comamonas testosteroni	"5-chloroprotocatechuate + dioxygen  ->  6-chloro-2-hydroxy-4-carboxymuconate-6-semialdehyde + H+ // 6-chloro-2-hydroxy-4-carboxymuconate-6-semialdehyde  ->  2-pyrone-4,6-dicarboxylate + chloride + H+ // 3-chlorobenzoate + a reduced two electron carrier + dioxygen  ->  3-chlorobenzoate-cis-3,4-diol + an oxidized electron carrier // 3-chlorobenzoate + a reduced two electron carrier + dioxygen  ->  5-chlorobenzoate-cis-3,4-diol + an oxidized electron carrier // 5-chlorobenzoate-cis-3,4-diol + NAD+  ->  5-chloroprotocatechuate + NADH + H+ // 3-chlorobenzoate-cis-3,4-diol  ->  protocatechuate + chloride + H+"	PWY-6216	3-chlorobenzoate degradation II (via protocatechuate)
<i>S</i>-(2-succinyl)-L-cysteine degradation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	Bacteria <bacteria>	Bacillus subtilis	N-acetyl-L-cysteine + H2O  ->  L-cysteine + acetate // L-cysteine + fumarate  ->  S-(2-succinyl)-L-cysteine // S-(2-succinyl)-L-cysteine + acetyl-CoA  ->  N-acetyl-S-(2-succinyl)-L-cysteine + coenzyme A + H+ // N-acetyl-S-(2-succinyl)-L-cysteine + NADH + dioxygen + H+  ->  oxaloacetate + N-acetyl-L-cysteine + NAD+ + H2O	PWY8J2-25	S-(2-succinyl)-L-cysteine degradation
cembratrienediol biosynthesis	Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis	Solanaceae	Nicotiana sylvestris // Nicotiana tabacum	"beta-cembratriene-ol + NAD(P)H + dioxygen + H+  ->  beta-cembratriene-4,6-diol + NAD(P)+ + H2O // alpha-cembratriene-ol + NAD(P)H + dioxygen + H+  ->  alpha-cembratriene-4,6-diol + NAD(P)+ + H2O // geranylgeranyl diphosphate + H2O  ->  beta-cembratriene-ol + diphosphate // geranylgeranyl diphosphate + H2O  ->  alpha-cembratriene-ol + diphosphate"	PWY18C3-7	cembratrienediol biosynthesis
UDP-&alpha;-D-galacturonate biosynthesis II (from D-galacturonate)	Carbohydrate Biosynthesis	UDP-sugar Biosynthesis	Viridiplantae // Bacteria <bacteria>	Pisum sativum // Vigna radiata	D-galactopyranuronate  <-->  aldehydo-D-galacturonate // D-galactopyranuronate + ATP  ->  alpha-D-galacturonate 1-phosphate + ADP + H+ // alpha-D-galacturonate 1-phosphate + UTP + H+  <-->  UDP-alpha-D-galacturonate + diphosphate	PWY-4	UDP-alpha-D-galacturonate biosynthesis II (from D-galacturonate)
3-chlorobenzoate degradation I (via chlorocatechol)	Aromatic Compound Degradation // Chlorinated Compound Degradation	3-Chlorobenzoate Degradation	Bacteria <bacteria>	Pseudomonas knackmussii // Cupriavidus pinatubonensis // Pseudomonas putida // Ralstonia eutropha // Ralstonia eutropha	"5-Chloro-3,5-cyclohexadiene-l,2-diol-1-carboxylate dehydrogenase // 3-Chloro-3,5-cyclohexadiene-l,2-diol-1-carboxylate dehydrogenase // 3-chlorobenzoate 1,2-dioxygenase // 3-chlorobenzoate 1,2-dioxygenase"	PWY-6088	3-chlorobenzoate degradation I (via chlorocatechol)
dimethyl sulfoxide degradation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	Eukaryota // Bacteria <bacteria> // Archaea	Arthrobacter methylotrophus // Pseudarthrobacter sulfonivorans // Halobacterium salinarum // Hyphomicrobium sulfonivorans // Hyphomicrobium denitrificans // Hyphomicrobium sp. EG // Hyphomicrobium sp. S	dimethyl sulfoxide + NAD(P)H + H+  ->  dimethyl sulfide + NAD(P)+ + H2O	PWY-6050	dimethyl sulfoxide degradation
steviol glucoside biosynthesis (rebaudioside A biosynthesis)	Other Biosynthesis // Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis // Glycosylation	Spermatophyta	Stevia rebaudiana	19-<i>O</i>-&beta;-glucopyranosyl steviol 13-<i>O</i>-glucosyltransferase // steviol 19-<i>O</i>-UDP glucosyltransferase // bebaudioside B 19-O-UDP glucosyltransferase // stevioside 3'-O-UDP glucosyltransferase // steviolbioside 3'-O-UDP glucosyltransferase // rubusoside 2'-O-UDP glucosyltransferase // steviolbioside 19-O-UDP glucosyltransferase // steviolmonoside 2'-O-UDP glucosyltransferase // steviolmonoside 19-O-UDP glucosyltransferase // steviol UDP glucosyltransferase	PWY-7071	steviol glucoside biosynthesis (rebaudioside A biosynthesis)
UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	Carbohydrate Biosynthesis	UDP-sugar Biosynthesis	Archaea // Eukaryota // Bacteria <bacteria>	Escherichia coli // Haloferax volcanii // Mus musculus // Nicotiana tabacum // Streptococcus pneumoniae // Arabidopsis thaliana	UDP-alpha-D-glucose + 2 NAD+ + H2O  ->  UDP-alpha-D-glucuronate + 2 NADH + 3 H+	PWY-7346	UDP-alpha-D-glucuronate biosynthesis (from UDP-glucose)
urate conversion to allantoin I	Aromatic Compound Degradation	Urate Degradation	Bacteria <bacteria> // Eukaryota	Danio rerio // Delftia acidovorans // Glycine max // Mus musculus // Arabidopsis thaliana	(S)-5-hydroxyisourate[periplasm] + H2O[periplasm]  ->  (S)-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline[periplasm] + H+[periplasm] // (S)-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline + H+  ->  (S)-(+)-allantoin + CO2 // urate + dioxygen + H2O  ->  (S)-5-hydroxyisourate + hydrogen peroxide	PWY-5691	urate conversion to allantoin I
homotaurine degradation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	Bacteria <bacteria>	Cupriavidus necator	3-sulfopropanal dehydrogenase // homotaurine + 2-oxoglutarate  <-->  3-oxopropane-1-sulfonate + L-glutamate	PWY-6321	homotaurine degradation
cyclooctatin biosynthesis	Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis	Actinobacteria	Streptomyces melanosporofaciens	geranylgeranyl diphosphate + H2O  ->  cyclooctat-9-en-7-ol + diphosphate // CotB3 // CotB4	PWY-7482	cyclooctatin biosynthesis
UDP-&alpha;-D-galacturonate biosynthesis I (from UDP-D-glucuronate)	Carbohydrate Biosynthesis	UDP-sugar Biosynthesis	Bacteria <bacteria> // Embryophyta	Escherichia coli O113 // Streptococcus pneumoniae // Vibrio cholerae O139 // Arabidopsis thaliana	UDP-alpha-D-glucuronate  <-->  UDP-alpha-D-galacturonate	PWY-4861	UDP-alpha-D-galacturonate biosynthesis I (from UDP-D-glucuronate)
superpathway of purines degradation in plants	Superpathways // Aromatic Compound Degradation	Superpathways // Urate Degradation	Viridiplantae	Camellia sinensis // Catharanthus roseus // Chlamydomonas reinhardtii // Cicer arietinum // Glycine max // Lupinus luteus // Solanum tuberosum // Arabidopsis thaliana	purine nucleotides degradation I (plants) // allantoin degradation to glyoxylate I // urate conversion to allantoin I	P165-PWY	superpathway of purines degradation in plants
sulfur volatiles biosynthesis	Metabolic Clusters // Inorganic Nutrient Metabolism	Metabolic Clusters // Sulfur Compound Metabolism	Brassicaceae	Brassica oleracea // Arabidopsis thaliana	S-adenosyl-L-methionine + a thiol  ->  S-adenosyl-L-homocysteine + a methyl thioether + H+ // S-adenosyl-L-methionine + thiocyanate  ->  methyl thiocyanate + S-adenosyl-L-homocysteine	PWY-6736	sulfur volatiles biosynthesis
lolitrem B biosynthesis	Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis	Fungi	Epichloe festucae	"lolitrem E + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  lolitrem B + an oxidized [NADPH-hemoprotein reductase] + 2 H2O // terpendole I dimethylallyltransferase // 20,21-diprenylterpendole C oxidase // terpendole C dimethylallyltransferase // terpendole J + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  terpendole C + an oxidized [NADPH-hemoprotein reductase] + 2 H2O // lolitriol dimethylallyltransferase // 20,21-diprenylterpendole J oxidase // terpendole J dimethylallyltransferase // 20,21-diprenylterpendole I monooxygenase // terpendole I dimethylallyltransferase // terpendole B + 2 a reduced [NADPH-hemoprotein reductase] + 2 dioxygen  ->  terpendole I + 2 an oxidized [NADPH-hemoprotein reductase] + 2 H2O // terpendole G + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  terpendole B + an oxidized [NADPH-hemoprotein reductase] + formate + H2O + H+ // terpendole F oxidase // terpendole E + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  terpendole F + an oxidized [NADPH-hemoprotein reductase] + H2O // paspaline, NADPH:oxygen oxidoreductase"	PWY-7572	lolitrem B biosynthesis
aerobic respiration II (cytochrome c) (yeast)	Generation of Precursor Metabolites and Energy	Aerobic Respiration // Electron Transfer Chains	Fungi	Saccharomyces cerevisiae	4 a reduced c-type cytochrome[out] + 8 H+[in] + dioxygen[in]  ->  4 an oxidized c-type cytochrome[out] + 4 H+[out] + 2 H2O[in] // succinate[in] + a ubiquinone[membrane]  ->  fumarate[in] + a ubiquinol[membrane] // a ubiquinone[membrane] + NADH[in] + H+[in]  ->  a ubiquinol[membrane] + NAD+[in] // 2 an oxidized c-type cytochrome[out] + a ubiquinol[membrane]  ->  2 a reduced c-type cytochrome[out] + a ubiquinone[membrane] + 2 H+[out]	PWY-7279	aerobic respiration II (cytochrome c) (yeast)
UDP-yelosamine biosynthesis	Carbohydrate Biosynthesis	UDP-sugar Biosynthesis	Bacteria <bacteria>	Bacillus cereus	"UDP-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-galactose + 2-oxoglutarate  <-->  UDP-2-acetamido-2,6-dideoxy-alpha-D-xylo-hex-4-ulose + L-glutamate // ATP + UDP-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-galactose + 2-oxoglutarate  ->  UDP-yelosamine + ADP + phosphate + H+ // UDP-N-acetyl-alpha-D-glucosamine  ->  UDP-2-acetamido-2,6-dideoxy-alpha-D-xylo-hex-4-ulose + H2O"	PWY-7842	UDP-yelosamine biosynthesis
urate conversion to allantoin III	Aromatic Compound Degradation	Urate Degradation	Bacteria <bacteria>	Acidovorax avenae // Agrobacterium fabrum // Paracoccus denitrificans // Pseudomonas aeruginosa // Ralstonia solanacearum	urate + a reduced two electron carrier + dioxygen  ->  (S)-5-hydroxyisourate + an oxidized electron carrier + H2O // (S)-5-hydroxyisourate[periplasm] + H2O[periplasm]  ->  (S)-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline[periplasm] + H+[periplasm] // (S)-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline + H+  ->  (S)-(+)-allantoin + CO2	PWY-7849	urate conversion to allantoin III
two-component alkanesulfonate monooxygenase	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	Bacteria <bacteria>	Escherichia coli	an alkylsulfonate + FMNH2 + dioxygen  ->  an aldehyde + sulfite + FMN + H2O + 2 H+ // FMNH2 + NADP+  <-  FMN + NADPH + 2 H+	ALKANEMONOX-PWY	two-component alkanesulfonate monooxygenase
casbene biosynthesis	Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis	Euphorbiaceae // Ricinus <lice>	Ricinus communis	geranylgeranyl diphosphate  ->  casbene + diphosphate	PWY-6304	casbene biosynthesis
UDP-&beta;-L-arabinose biosynthesis I (from UDP-&alpha;-D-xylose)	Carbohydrate Biosynthesis	UDP-sugar Biosynthesis	Rhizobiaceae // Embryophyta	Abies grandis // Pinus sylvestris // Sinorhizobium meliloti // Triticum aestivum // Vigna radiata // Arabidopsis thaliana	UDP-beta-L-arabinopyranose  <-->  UDP-alpha-D-xylose	PWY-63	UDP-beta-L-arabinose biosynthesis I (from UDP-alpha-D-xylose)
urate conversion to allantoin II	Aromatic Compound Degradation	Urate Degradation	Bacteria <bacteria>	Klebsiella michiganensis // Klebsiella pneumoniae // Klebsiella pneumoniae // Xanthomonas campestris	urate + NADH + H+ + dioxygen  ->  (S)-5-hydroxyisourate + NAD+ + H2O // (S)-5-hydroxyisourate[periplasm] + H2O[periplasm]  ->  (S)-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline[periplasm] + H+[periplasm] // (S)-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline + H+  ->  (S)-(+)-allantoin + CO2	PWY-7394	urate conversion to allantoin II
"3,3'-thiodipropanoate degradation"	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	Bacteria <bacteria>	Variovorax paradoxus	"3-sulfinopropanoate + an acyl-CoA  ->  3-sulfinopropanoyl-CoA + a carboxylate // 3,3'-thiodipropanoate + H2O  ->  3-sulfanylpropanoate + 3-hydroxypropanoate // 3-sulfinopropanoyl-CoA + H2O  ->  propanoyl-CoA + sulfite + H+ // 3-sulfanylpropanoate + dioxygen  ->  3-sulfinopropanoate + H+"	PWY-7465	"3,3'-thiodipropanoate degradation"
dolabralexins biosynthesis	Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis	Viridiplantae	Zea mays	"geranylgeranyl diphosphate  ->  (-)-ent-copalyl diphosphate // (-)-ent-copalyl diphosphate  ->  dolabradiene + diphosphate // 3beta-hydroxy-15,16-epoxydolabrene + H2O  ->  3beta,15,16-trihydroxydolabrene // 15,16-epoxydolabrene + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  3beta-hydroxy-15,16-epoxydolabrene + an oxidized [NADPH-hemoprotein reductase] + H2O // dolabradiene + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  15,16-epoxydolabrene + an oxidized [NADPH-hemoprotein reductase] + H2O"	PWY-7994	dolabralexins biosynthesis
succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub>	Generation of Precursor Metabolites and Energy	Aerobic Respiration // Electron Transfer Chains	Cyanobacteria	Parasynechococcus marenigrum	succinate + a plastoquinone[thylakoid membrane]  ->  fumarate + a plastoquinol[thylakoid membrane] // 4 a reduced cytochrome c6[in] + dioxygen[in] + 8 H+[in]  ->  4 an oxidized cytochrome c6[in] + 4 H+[out] + 2 H2O[in] // 2 an oxidized cytochrome c6[in] + a plastoquinol[membrane] + 2 H+[out]  ->  2 a reduced cytochrome c6[in] + a plastoquinone[membrane] + 4 H+[in]	PWY1YI0-2	succinate to chytochrome c oxidase via cytochrome c6
superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	Superpathways // Carbohydrate Biosynthesis	Superpathways // UDP-sugar Biosynthesis	Bacteria <bacteria>	Escherichia coli // Escherichia coli O113 // Mycobacterium tuberculosis // Streptococcus pneumoniae // Streptococcus thermophilus // Vibrio cholerae O139	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose) // UDP-&alpha;-D-galactose biosynthesis // UDP-&alpha;-D-glucose biosynthesis // UDP-alpha-D-galactose  <-->  UDP-alpha-D-galactofuranose // UDP-&alpha;-D-galacturonate biosynthesis I (from UDP-D-glucuronate) // UDP-alpha-D-glucose  <-->  UDP-alpha-D-galactose	PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis
L-threonine degradation IV	Amino Acid Degradation	L-threonine Degradation	Bacteria <bacteria> // Fungi	Escherichia coli // Saccharomyces cerevisiae // Pseudomonas sp. NCIMB 10558 // Clostridium pasteurianum // Vanrija humicola // Bacillus subtilis // Arthrobacter sp. // Aeromonas jandaei // Pseudomonas putida // Pseudomonas putida // Achromobacter xylosoxidans 	acetaldehyde + coenzyme A + NAD+  <-->  acetyl-CoA + NADH + H+ // L-threonine  <-->  glycine + acetaldehyde	PWY-5436	L-threonine degradation IV
methanogenesis from methylthiopropanoate	Generation of Precursor Metabolites and Energy // Inorganic Nutrient Metabolism	Methanogenesis // Sulfur Compound Metabolism	Euryarchaeota	Methanosarcina // Methanosarcina acetivorans // Methanosarcina barkeri // Methanosarcina thermophila // Methanosarcina TM-1	3-(methylsulfanyl)propanoate + a [Co(I) methanethiol-specific corrinoid protein] + H+  <-->  a [methyl-Co(III) methanethiol-specific corrinoid protein] + 3-sulfanylpropanoate // a [methyl-Co(III) methanethiol-specific corrinoid protein] + coenzyme M  <-->  a [Co(I) methanethiol-specific corrinoid protein] + methyl-CoM + H+	PWY-5260	methanogenesis from methylthiopropanoate
plaunotol biosynthesis	Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis	Viridiplantae	Croton sublyratus // Croton // Croton stellatopilosus	"(2E,6E)-farnesyl diphosphate + 3-methylbut-3-en-1-yl diphosphate  ->  geranylgeranyl diphosphate + diphosphate // geranylgeranyl diphosphate + H2O  ->  geranylgeraniol + diphosphate // geranylgeraniol + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  plaunotol + an oxidized [NADPH-hemoprotein reductase] + H2O"	PWY-6691	plaunotol biosynthesis
"UDP-3-acetamido-2-amino-2,3-dideoxy-&alpha;-D-glucopyranose biosynthesis"	Carbohydrate Biosynthesis	UDP-sugar Biosynthesis	Bacteria <bacteria>	Acidithiobacillus ferrooxidans // Azorhizobium caulinodans // Bradyrhizobium elkanii // Brevundimonas diminuta // Brucella abortus // Campylobacter jejuni // Legionella pneumophila // Leptospira interrogans // Mesorhizobium huakuii // Brucella anthropi // Afipia carboxidovorans // Phyllobacterium trifolii // Rhodopseudomonas palustris	"UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucopyranose + 2-oxoglutarate + H+  <-->  UDP-N-acetyl-3-dehydro-alpha-D-glucosamine + L-glutamate // UDP-N-acetyl-alpha-D-glucosamine + NAD+  ->  UDP-N-acetyl-3-dehydro-alpha-D-glucosamine + NADH + H+"	PWY-8273	"UDP-3-acetamido-2-amino-2,3-dideoxy-alpha-D-glucopyranose biosynthesis"
L-threonine degradation III (to methylglyoxal)	Amino Acid Degradation	L-threonine Degradation	Bacteria <bacteria>	Arthrobacter globiformis // Bacillus subtilis // Escherichia coli // Serratia marcescens // Pseudomonas sp. NCIB 8858	aminoacetone + H2O + dioxygen  ->  methylglyoxal + ammonium + hydrogen peroxide // L-2-amino-3-oxobutanoate + H+  ->  aminoacetone + CO2 // L-threonine + NAD+  ->  L-2-amino-3-oxobutanoate + NADH + H+	THRDLCTCAT-PWY	L-threonine degradation III (to methylglyoxal)
<i>S</i>-benzyl-L-cysteine degradation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	Bacteria <bacteria>	Bacillus subtilis	S-benzyl-L-cysteine + acetyl-CoA  ->  N-acetyl-S-benzyl-L-cysteine + coenzyme A + H+ // N-acetyl-S-benzyl-L-cysteine + FMNH2 + dioxygen  ->  (R)-N-acetyl-S-benzyl-L-cysteine sulfoxide + FMN + H2O + H+ // (R)-N-acetyl-S-benzyl-L-cysteine sulfoxide + FMNH2 + dioxygen  ->  N-acetyl-S-hydroxy-L-cysteine + benzaldehyde + FMN + H2O + H+ // N-acetyl-S-hydroxy-L-cysteine + a reduced two electron carrier  ->  N-acetyl-L-cysteine + an oxidized electron carrier + H2O // N-acetyl-L-cysteine + H2O  ->  L-cysteine + acetate	PWY-8418	S-benzyl-L-cysteine degradation
labdenediol and sclareol biosynthesis	Secondary Metabolite Biosynthesis	Diterpenoid Biosynthesis	Solanaceae	Nicotiana glutinosa	(13E)-8alpha-hydroxylabd-13-en-15-yl diphosphate + H2O  ->  sclareol + diphosphate // labdenediol synthase	PWY18C3-18	labdenediol and sclareol biosynthesis
pyruvate to cytochrome <i>bd</i> oxidase electron transfer	Generation of Precursor Metabolites and Energy	Aerobic Respiration // Electron Transfer Chains	Bacteria <bacteria> // Archaea		2 a ubiquinol[inner membrane] + dioxygen + 4 H+  ->  2 a ubiquinone[inner membrane] + 4 H+[periplasm] + 2 H2O // pyruvate + a ubiquinone[inner membrane] + H2O  ->  CO2 + acetate + a ubiquinol[inner membrane]	PWY-7545	pyruvate to cytochrome bd oxidase electron transfer
UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis III	Carbohydrate Biosynthesis	UDP-<i>N</i>-acetyl-D-galactosamine Biosynthesis	Crenarchaeota <Crenarchaeota>	Metallosphaera sedula // Sulfolobus acidocaldarius // Sulfolobus islandicus // Saccharolobus solfataricus // Sulfurisphaera tokodaii	alpha-D-glucose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate // UTP + N-acetyl-alpha-D-galactosamine 1-phosphate + H+  ->  UDP-N-acetyl-alpha-D-galactosamine + diphosphate // acetyl-CoA + alpha-D-galactosamine-1-phosphate  ->  N-acetyl-alpha-D-galactosamine 1-phosphate + coenzyme A + H+ // L-glutamine + beta-D-fructofuranose 6-phosphate  <-->  L-glutamate + D-glucosamine 6-phosphate // D-glucosamine 6-phosphate  <-->  D-galactosamine 6-phosphate // D-galactosamine 6-phosphate  <-->  alpha-D-galactosamine-1-phosphate	PWY-8013	UDP-N-acetyl-D-galactosamine biosynthesis III
L-threonine degradation V	Amino Acid Degradation	L-threonine Degradation	Mammalia	Homo sapiens	2-oxobutanoate + coenzyme A + NAD+  ->  propanoyl-CoA + CO2 + NADH // L-threonine  ->  2-oxobutanoate + ammonium	PWY66-428	L-threonine degradation V
