"","X1","X2"
"1441","PWY-6268","adenosylcobalamin salvage from cobalamin"
"1442","PWY-6269","adenosylcobalamin salvage from cobinamide II"
"1443","PWY-6270","isoprene biosynthesis I"
"1444","PWY-6271","eudesmol biosynthesis"
"1445","PWY-6273","phosphatidylethanolamine biosynthesis III"
"1446","PWY-6275","&beta;-caryophyllene biosynthesis"
"1447","PWY-6277","superpathway of 5-aminoimidazole ribonucleotide biosynthesis"
"1448","PWY-6278","botrydial biosynthesis"
"1449","PWY-6279","myxol-2' fucoside biosynthesis"
"1450","PWY-6280","synechoxanthin biosynthesis"
"1451","PWY-6281","L-selenocysteine biosynthesis II (archaea and eukaryotes)"
"1452","PWY-6282","palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)"
"1453","PWY-6284","superpathway of unsaturated fatty acids biosynthesis (E. coli)"
"1454","PWY-6285","superpathway of fatty acids biosynthesis (E. coli)"
"1455","PWY-6286","spheroidene and spheroidenone biosynthesis"
"1456","PWY-6287","neurosporene biosynthesis"
"1457","PWY-6288","zeaxanthin-&beta;-D-diglucoside biosynthesis"
"1458","PWY-6289","petrobactin biosynthesis"
"1459","PWY-6290","&beta;-cubebene biosynthesis"
"1460","PWY-6291","valencene and 7-epi-&alpha;-selinene biosynthesis"
"1461","PWY-6292","superpathway of L-cysteine biosynthesis (mammalian)"
"1462","PWY-6293","L-cysteine biosynthesis IV (fungi)"
"1463","PWY-6294","selinene biosynthesis"
"1464","PWY-6297","tuberonate glucoside biosynthesis"
"1465","PWY-6302","dihydroconiferyl alcohol biosynthesis"
"1466","PWY-6303","methyl indole-3-acetate interconversion"
"1467","PWY-6304","casbene biosynthesis"
"1468","PWY-6305","putrescine biosynthesis IV"
"1469","PWY-6307","L-tryptophan degradation X (mammalian, via tryptamine)"
"1470","PWY-6308","L-cysteine biosynthesis II (tRNA-dependent)"
"1471","PWY-6309","L-tryptophan degradation XI (mammalian, via kynurenine)"
"1472","PWY-6310","aloesone biosynthesis II"
"1473","PWY-6312","barbaloin biosynthesis"
"1474","PWY-6313","serotonin degradation"
"1475","PWY-6314","plumbagin biosynthesis"
"1476","PWY-6316","aromatic polyketides biosynthesis"
"1477","PWY-6317","galactose degradation I (Leloir pathway)"
"1478","PWY-6318","L-phenylalanine degradation IV (mammalian, via side chain)"
"1479","PWY-6320","phaselate biosynthesis"
"1480","PWY-6321","homotaurine degradation"
"1481","PWY-6322","phosphinothricin tripeptide biosynthesis"
"1482","PWY-6323","benzoylanthranilate biosynthesis"
"1483","PWY-6324","rebeccamycin biosynthesis"
"1484","PWY-6325","echinatin biosynthesis"
"1485","PWY-6326","camptothecin biosynthesis"
"1486","PWY-6327","tetrathionate oxidation"
"1487","PWY-6328","L-lysine degradation X"
"1488","PWY-6330","acetaldehyde biosynthesis II"
"1489","PWY-6332","coumestrol biosynthesis"
"1490","PWY-6333","acetaldehyde biosynthesis I"
"1491","PWY-6334","L-dopa degradation"
"1492","PWY-6336","protocatechuate degradation III (para-cleavage pathway)"
"1493","PWY-6337","dehydroscoulerine biosynthesis"
"1494","PWY-6338","superpathway of vanillin and vanillate degradation"
"1495","PWY-6339","syringate degradation"
"1496","PWY-6340","5,5'-dehydrodivanillate degradation"
"1497","PWY-6341","guaiacylglycerol-&beta;-guaiacyl ether degradation"
"1498","PWY-6342","noradrenaline and adrenaline degradation"
"1499","PWY-6343","ferulate degradation"
"1500","PWY-6344","L-ornithine degradation II (Stickland reaction)"
"1501","PWY-6345","K-252 biosynthesis"
"1502","PWY-6346","staurosporine biosynthesis"
"1503","PWY-6348","phosphate acquisition"
"1504","PWY-6349","CDP-archaeol biosynthesis"
"1505","PWY-6350","archaetidylinositol biosynthesis"
"1506","PWY-6351","D-myo-inositol (1,4,5)-trisphosphate biosynthesis"
"1507","PWY-6352","3-phosphoinositide biosynthesis"
"1508","PWY-6353","purine nucleotides degradation II (aerobic)"
"1509","PWY-6358","superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism"
"1510","PWY-6361","1D-myo-inositol hexakisphosphate biosynthesis I  (from Ins(1,4,5)P3)"
"1511","PWY-6362","1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)"
"1512","PWY-6363","D-myo-inositol (1,4,5)-trisphosphate degradation"
"1513","PWY-6364","D-myo-inositol (1,3,4)-trisphosphate biosynthesis"
"1514","PWY-6365","D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis"
"1515","PWY-6366","D-myo-inositol (1,4,5,6)-tetrakisphosphate biosynthesis"
"1516","PWY-6367","D-myo-inositol-5-phosphate metabolism"
"1517","PWY-6368","3-phosphoinositide degradation"
"1518","PWY-6369","inositol pyrophosphates biosynthesis"
"1519","PWY-6370","ascorbate recycling (cytosolic)"
"1520","PWY-6371","superpathway of inositol phosphate compounds"
"1521","PWY-6372","1D-myo-inositol hexakisphosphate biosynthesis IV (Dictyostelium)"
"1522","PWY-6373","acrylate degradation"
"1523","PWY-6374","vibriobactin biosynthesis"
"1524","PWY-6375","desferrioxamine E biosynthesis"
"1525","PWY-6376","desferrioxamine B biosynthesis"
"1526","PWY-6377","&alpha;-tocopherol degradation"
"1527","PWY-6378","putrebactin biosynthesis"
"1528","PWY-6379","alcaligin biosynthesis"
"1529","PWY-6381","bisucaberin biosynthesis"
"1530","PWY-6383","mono-trans, poly-cis decaprenyl phosphate biosynthesis"
"1531","PWY-6385","peptidoglycan biosynthesis III (mycobacteria)"
"1532","PWY-6386","UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)"
"1533","PWY-6387","UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)"
"1534","PWY-6388","(S,S)-butanediol degradation"
"1535","PWY-6389","(S)-acetoin biosynthesis"
"1536","PWY-6390","(S,S)-butanediol biosynthesis"
"1537","PWY-6391","meso-butanediol biosynthesis I"
"1538","PWY-6392","meso-butanediol biosynthesis II"
"1539","PWY-6395","superpathway of seleno-compound metabolism"
"1540","PWY-6396","superpathway of 2,3-butanediol biosynthesis"
"1541","PWY-6397","mycolyl-arabinogalactan-peptidoglycan complex biosynthesis"
"1542","PWY-6398","melatonin degradation I"
"1543","PWY-6399","melatonin degradation II"
"1544","PWY-63","UDP-L-arabinose biosynthesis I (from UDP-xylose)"
"1545","PWY-6400","melatonin degradation III"
"1546","PWY-6401","hispidol and hispidol 4'-O-&beta;-D-glucoside biosynthesis"
"1547","PWY-6402","superpathway of melatonin degradation"
"1548","PWY-6403","carrageenan biosynthesis"
"1549","PWY-6404","superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis"
"1550","PWY-6405","Rapoport-Luebering glycolytic shunt"
"1551","PWY-6406","salicylate biosynthesis I"
"1552","PWY-6407","yersiniabactin biosynthesis"
"1553","PWY-6408","pyochelin biosynthesis"
"1554","PWY-6409","pyoverdine I biosynthesis"
"1555","PWY-6411","ginsenoside degradation I"
"1556","PWY-6412","ginsenoside degradation II"
"1557","PWY-6413","ginsenoside degradation III"
"1558","PWY-6415","L-ascorbate biosynthesis V"
"1559","PWY-6416","quinate degradation II"
"1560","PWY-6418","4-hydroxycoumarin and dicoumarol biosynthesis"
"1561","PWY-6419","shikimate degradation II"
"1562","PWY-641","proanthocyanidin biosynthesis from flavanols"
"1563","PWY-6420","pyrroloquinoline quinone biosynthesis"
"1564","PWY-6421","arsenate detoxification III (mycothiol)"
"1565","PWY-6422","D-arginine degradation"
"1566","PWY-6423","hemoglobin degradation"
"1567","PWY-6425","rotenoid biosynthesis II"
"1568","PWY-6426","uracil degradation II (oxidative)"
"1569","PWY-6427","rot-2'-enonate biosynthesis"
"1570","PWY-6430","thymine degradation"
"1571","PWY-6431","4-hydroxybenzoate biosynthesis IV"
"1572","PWY-6432","curcuminoid biosynthesis"
"1573","PWY-6433","hydroxylated fatty acid biosynthesis (plants)"
"1574","PWY-6435","4-hydroxybenzoate biosynthesis V"
"1575","PWY-6436","perillyl aldehyde biosynthesis"
"1576","PWY-6437","fenchol biosynthesis I"
"1577","PWY-6438","phenylphenalenone biosynthesis"
"1578","PWY-6440","spermine and spermidine degradation II"
"1579","PWY-6441","spermine and spermidine degradation III"
"1580","PWY-6442","spermidine hydroxycinnamic acid conjugates biosynthesis"
"1581","PWY-6443","benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)"
"1582","PWY-6444","benzoate biosynthesis II (CoA-independent, non-&beta;-oxidative)"
"1583","PWY-6445","fenchol biosynthesis II"
"1584","PWY-6446","benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)"
"1585","PWY-6447","trichome monoterpenes biosynthesis"
"1586","PWY-6448","hordatine biosynthesis"
"1587","PWY-6449","fenchone biosynthesis"
"1588","PWY-6451","3-carene biosynthesis"
"1589","PWY-6453","stigma estolide biosynthesis"
"1590","PWY-6454","vancomycin resistance I"
"1591","PWY-6455","vancomycin resistance II"
"1592","PWY-6456","serinol biosynthesis"
"1593","PWY-6457","trans-cinnamoyl-CoA biosynthesis"
"1594","PWY-6458","benzoyl-CoA biosynthesis"
"1595","PWY-6459","peptidoglycan cross-bridge biosynthesis I (S. aureus)"
"1596","PWY-6461","peptidoglycan cross-bridge biosynthesis II (E. faecium)"
"1597","PWY-6462","peptidoglycan cross-bridge biosynthesis III (Enterococcus faecalis)"
"1598","PWY-6463","peptidoglycan cross-bridge biosynthesis IV (Weissella viridescens)"
"1599","PWY-6464","polyvinyl alcohol degradation"
"1600","PWY-6466","pyridoxal 5'-phosphate biosynthesis II"
"1601","PWY-6467","Kdo transfer to lipid IVA III (Chlamydia)"
"1602","PWY-6470","peptidoglycan biosynthesis V (&beta;-lactam resistance)"
"1603","PWY-6471","peptidoglycan biosynthesis IV (Enterococcus faecium)"
"1604","PWY-6473","4-aminobutanoate degradation IV"
"1605","PWY-6475","trans-lycopene biosynthesis II (plants)"
"1606","PWY-6476","cytidylyl molybdenum cofactor biosynthesis"
"1607","PWY-6477","gibberellin inactivation II (methylation)"
"1608","PWY-6478","GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis"
"1609","PWY-6481","L-dopachrome biosynthesis"
"1610","PWY-6482","diphthamide biosynthesis (archaea)"
"1611","PWY-6483","ceramide degradation"
"1612","PWY-6486","D-galacturonate degradation II"
"1613","PWY-6491","D-galacturonate degradation III"
"1614","PWY-6493","chanoclavine I aldehyde biosynthesis"
"1615","PWY-6494","gibberellin inactivation III (epoxidation)"
"1616","PWY-6495","ergotamine biosynthesis"
"1617","PWY-6497","D-galactarate degradation II"
"1618","PWY-6498","eumelanin biosynthesis"
"1619","PWY-6499","D-glucarate degradation II"
"1620","PWY-6501","D-glucuronate degradation II"
"1621","PWY-6502","oxidized GTP and dGTP detoxification"
"1622","PWY-6503","superpathway of ergotamine biosynthesis"
"1623","PWY-6504","anthranilate degradation IV (aerobic)"
"1624","PWY-6505","L-tryptophan degradation XII (Geobacillus)"
"1625","PWY-6507","4-deoxy-L-threo-hex-4-enopyranuronate degradation"
"1626","PWY-6509","methanol oxidation to formaldehyde III"
"1627","PWY-6510","methanol oxidation to formaldehyde II"
"1628","PWY-6511","3-methylarginine biosynthesis"
"1629","PWY-6512","hydrogen oxidation III (anaerobic, NADP)"
"1630","PWY-6515","phloridzin biosynthesis"
"1631","PWY-6516","superpathway of microbial D-galacturonate and D-glucuronate degradation"
"1632","PWY-6517","N-acetylglucosamine degradation II"
"1633","PWY-6518","glycocholate metabolism (bacteria)"
"1634","PWY-6519","8-amino-7-oxononanoate biosynthesis I"
"1635","PWY-6520","nonaprenyl diphosphate biosynthesis II"
"1636","PWY-6523","nitrite-dependent anaerobic methane oxidation"
"1637","PWY-6524","lychnose and isolychnose biosynthesis"
"1638","PWY-6525","stellariose and mediose biosynthesis"
"1639","PWY-6526","limonene degradation III (to perillate)"
"1640","PWY-6527","stachyose degradation"
"1641","PWY-6529","chlorate reduction"
"1642","PWY-6530","perchlorate reduction"
"1643","PWY-6531","mannitol cycle"
"1644","PWY-6532","diphenylamine degradation"
"1645","PWY-6533","aniline degradation"
"1646","PWY-6534","phenylethylamine degradation II"
"1647","PWY-6535","4-aminobutanoate degradation I"
"1648","PWY-6536","4-aminobutanoate degradation III"
"1649","PWY-6537","4-aminobutanoate degradation II"
"1650","PWY-6538","caffeine degradation III (bacteria, via demethylation)"
"1651","PWY-6539","(Z)-phenylmethanethial S-oxide biosynthesis"
"1652","PWY-6540","costunolide biosynthesis"
"1653","PWY-6543","4-aminobenzoate biosynthesis"
"1654","PWY-6544","superpathway of C28 brassinosteroid biosynthesis"
"1655","PWY-6545","pyrimidine deoxyribonucleotides de novo biosynthesis III"
"1656","PWY-6546","brassinosteroids inactivation"
"1657","PWY-6549","L-glutamine biosynthesis III"
"1658","PWY-6550","carbazole degradation"
"1659","PWY-6552","caffeine degradation I (main, plants)"
"1660","PWY-6553","caffeine degradation II"
"1661","PWY-6554","1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)"
"1662","PWY-6555","superpathway of 1D-myo-inositol hexakisphosphate biosynthesis (plants)"
"1663","PWY-6556","pyrimidine ribonucleosides salvage II"
"1664","PWY-6557","glycoaminoglycan-protein linkage region biosynthesis"
"1665","PWY-6558","heparan sulfate biosynthesis (late stages)"
"1666","PWY-6559","spermidine biosynthesis II"
"1667","PWY-6562","norspermidine biosynthesis"
"1668","PWY-6564","heparan sulfate biosynthesis"
"1669","PWY-6565","superpathway of polyamine biosynthesis III"
"1670","PWY-6566","chondroitin biosynthesis"
"1671","PWY-6567","chondroitin sulfate biosynthesis (late stages)"
"1672","PWY-6568","dermatan sulfate biosynthesis (late stages)"
"1673","PWY-6569","chondroitin sulfate biosynthesis"
"1674","PWY-6571","dermatan sulfate biosynthesis"
"1675","PWY-6572","chondroitin sulfate degradation I (bacterial)"
"1676","PWY-6573","chondroitin sulfate degradation (metazoa)"
"1677","PWY-6574","achromobactin biosynthesis"
"1678","PWY-6575","juvenile hormone III biosynthesis I"
"1679","PWY-6576","dermatan sulfate degradation (metazoa)"
"1680","PWY-6577","farnesylcysteine salvage pathway"
"1681","PWY-6578","8-amino-7-oxononanoate biosynthesis III"
"1682","PWY-6580","phosphatidylinositol biosynthesis I (bacteria)"
"1683","PWY-6581","spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis"
"1684","PWY-6583","pyruvate fermentation to butanol I"
"1685","PWY-6585","2-methylketone biosynthesis"
"1686","PWY-6587","pyruvate fermentation to ethanol III"
"1687","PWY-6588","pyruvate fermentation to acetone"
"1688","PWY-6590","superpathway of Clostridium acetobutylicum acidogenic fermentation"
"1689","PWY-6591","manganese oxidation I"
"1690","PWY-6592","manganese oxidation II"
"1691","PWY-6593","sulfoacetate degradation"
"1692","PWY-6594","superpathway of Clostridium acetobutylicum solventogenic fermentation"
"1693","PWY-6595","superpathway of guanosine nucleotides degradation (plants)"
"1694","PWY-6596","adenosine nucleotides degradation I"
"1695","PWY-6598","sciadonate biosynthesis"
"1696","PWY-6599","guanine and guanosine salvage II"
"1697","PWY-6602","C-glycosylflavone biosynthesis I"
"1698","PWY-6603","dicranin biosynthesis"
"1699","PWY-6604","superpathway of Clostridium acetobutylicum acidogenic and solventogenic fermentation"
"1700","PWY-6605","adenine and adenosine salvage II"
"1701","PWY-6606","guanosine nucleotides degradation II"
"1702","PWY-6607","guanosine nucleotides degradation I"
"1703","PWY-6608","guanosine nucleotides degradation III"
"1704","PWY-6609","adenine and adenosine salvage III"
"1705","PWY-6610","adenine and adenosine salvage IV"
"1706","PWY-6611","adenine and adenosine salvage V"
"1707","PWY-6612","superpathway of tetrahydrofolate biosynthesis"
"1708","PWY-6613","tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate"
"1709","PWY-6614","tetrahydrofolate biosynthesis"
"1710","PWY66-161","oxidative ethanol degradation III"
"1711","PWY66-162","ethanol degradation IV"
"1712","PWY-6616","sulfolactate degradation I"
"1713","PWY-6617","adenosine nucleotides degradation III"
"1714","PWY-6618","guanine and guanosine salvage III"
"1715","PWY-6619","adenine and adenosine salvage VI"
"1716","PWY66-201","nicotine degradation IV"
"1717","PWY-6620","guanine and guanosine salvage"
"1718","PWY66-21","ethanol degradation II"
"1719","PWY-6621","salicylate glucosides biosynthesis I"
"1720","PWY66-221","nicotine degradation V"
"1721","PWY-6622","heptadecane biosynthesis"
"1722","PWY-6623","salicylate glucosides biosynthesis II"
"1723","PWY66-241","bupropion degradation"
"1724","PWY-6624","salicylate glucosides biosynthesis III"
"1725","PWY-6626","CDP-2-glycerol biosynthesis"
"1726","PWY-6627","salinosporamide A biosynthesis"
"1727","PWY-6628","superpathway of L-phenylalanine biosynthesis"
"1728","PWY-6629","superpathway of L-tryptophan biosynthesis"
"1729","PWY66-301","catecholamine biosynthesis"
"1730","PWY-6630","superpathway of L-tyrosine biosynthesis"
"1731","PWY-6631","O -methylation of tricetin"
"1732","PWY-6632","caffeine degradation IV (bacteria, via demethylation and oxidation)"
"1733","PWY-6633","caffeine degradation V (bacteria, via trimethylurate)"
"1734","PWY66-341","cholesterol biosynthesis I"
"1735","PWY-6634","2,3-dihydroxypropane-1-sulfonate degradation"
"1736","PWY66-366","flavin biosynthesis IV (mammalian)"
"1737","PWY66-367","ketogenesis"
"1738","PWY66-368","ketolysis"
"1739","PWY-6636","salicylate degradation III"
"1740","PWY66-373","sucrose degradation V (sucrose &alpha;-glucosidase)"
"1741","PWY66-374","C20 prostanoid biosynthesis"
"1742","PWY66-375","leukotriene biosynthesis"
"1743","PWY66-377","pregnenolone biosynthesis"
"1744","PWY66-378","androgen biosynthesis"
"1745","PWY-6637","sulfolactate degradation II"
"1746","PWY66-380","estradiol biosynthesis I (via estrone)"
"1747","PWY66-381","glucocorticoid biosynthesis"
"1748","PWY66-382","mineralocorticoid biosynthesis"
"1749","PWY66-387","fatty acid &alpha;-oxidation II"
"1750","PWY66-388","fatty acid &alpha;-oxidation III"
"1751","PWY66-389","phytol degradation"
"1752","PWY-6638","sulfolactate degradation III"
"1753","PWY66-391","fatty acid &beta;-oxidation VI (peroxisome)"
"1754","PWY66-392","lipoxin biosynthesis"
"1755","PWY66-393","aspirin-triggered lipoxin biosynthesis"
"1756","PWY66-394","aspirin triggered resolvin E biosynthesis"
"1757","PWY66-395","aspirin triggered resolvin D biosynthesis"
"1758","PWY66-397","resolvin D biosynthesis"
"1759","PWY66-398","TCA cycle III (animals)"
"1760","PWY66-399","gluconeogenesis III"
"1761","PWY66-3","cholesterol biosynthesis II (via 24,25-dihydrolanosterol)"
"1762","PWY66-409","superpathway of purine nucleotide salvage"
"1763","PWY-6640","salicylate degradation IV"
"1764","PWY-6641","superpathway of sulfolactate degradation"
"1765","PWY66-420","carnosine biosynthesis"
"1766","PWY66-421","homocarnosine biosynthesis"
"1767","PWY66-422","D-galactose degradation V (Leloir pathway)"
"1768","PWY66-423","fructose 2,6-bisphosphate biosynthesis"
"1769","PWY66-425","L-lysine degradation II (L-pipecolate pathway)"
"1770","PWY66-426","hydrogen sulfide biosynthesis II (mammalian)"
"1771","PWY66-428","L-threonine degradation V"
"1772","PWY-6642","(R)-cysteate degradation"
"1773","PWY-6643","coenzyme M biosynthesis II"
"1774","PWY-6644","fluoroacetate and fluorothreonine biosynthesis"
"1775","PWY-6645","labdane-type diterpenes biosynthesis"
"1776","PWY-6646","fluoroacetate degradation"
"1777","PWY-6648","rhamnolipid biosynthesis"
"1778","PWY-6649","glycolate and glyoxylate degradation III"
"1779","PWY66-4","cholesterol biosynthesis III (via desmosterol)"
"1780","PWY-6650","juvenile hormone III biosynthesis II"
"1781","PWY-6653","ent -kaurene biosynthesis II"
"1782","PWY-6654","phosphopantothenate biosynthesis III"
"1783","PWY-6655","xanthan biosynthesis"
"1784","PWY-6657","polyhydroxydecanoate biosynthesis"
"1785","PWY-6658","acetan biosynthesis"
"1786","PWY-6659","fusicoccin A biosynthesis"
"1787","PWY66-5","superpathway of cholesterol biosynthesis"
"1788","PWY-6660","2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis"
"1789","PWY-6661","4-hydroxy-2(1H)-quinolone biosynthesis"
"1790","PWY-6662","superpathway of quinolone and alkylquinolone biosynthesis"
"1791","PWY-6664","di-myo-inositol phosphate biosynthesis"
"1792","PWY-6665","pterostilbene biosynthesis"
"1793","PWY6666-1","anandamide degradation"
"1794","PWY6666-2","dopamine degradation"
"1795","PWY-6666","pyocyanin biosynthesis"
"1796","PWY-6667","resveratrol degradation"
"1797","PWY-6668","(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis"
"1798","PWY-6669","&delta;-guaiene biosynthesis"
"1799","PWY-6670","citronellol degradation"
"1800","PWY-6672","cis-genanyl-CoA degradation"
"1801","PWY-6673","caffeoylglucarate biosynthesis"
"1802","PWY-6675","sulfur oxidation IV (intracellular sulfur)"
"1803","PWY-6676","superpathway of sulfide oxidation (phototrophic sulfur bacteria)"
"1804","PWY-6677","thiosulfate oxidation IV (multienzyme complex)"
"1805","PWY-6678","geraniol and nerol degradation"
"1806","PWY-6679","jadomycin biosynthesis"
"1807","PWY-6681","neurosporaxanthin biosynthesis"
"1808","PWY-6682","dehydrophos biosynthesis"
"1809","PWY-6683","sulfate reduction III (assimilatory)"
"1810","PWY-6684","glucosinolate breakdown (via thiocyanate-forming protein)"
"1811","PWY-6685","glucosylglycerate biosynthesis II"
"1812","PWY-6686","mannosylglucosylglycerate biosynthesis I"
"1813","PWY-6687","mannosylglucosylglycerate biosynthesis II"
"1814","PWY-6688","thyronamine and iodothyronamine metabolism"
"1815","PWY-6689","tRNA splicing"
"1816","PWY-6690","cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate"
"1817","PWY-6691","plaunotol biosynthesis"
"1818","PWY-6692","Fe(II) oxidation"
"1819","PWY-6693","galactose degradation IV"
"1820","PWY-6694","oxalate degradation I"
"1821","PWY-6695","oxalate degradation II"
"1822","PWY-6696","oxalate degradation III"
"1823","PWY-6697","oxalate degradation IV"
"1824","PWY-6698","oxalate degradation V"
"1825","PWY-6699","oxalate biosynthesis"
"1826","PWY-66","GDP-L-fucose biosynthesis I (from GDP-D-mannose)"
"1827","PWY-6700","queuosine biosynthesis"
"1828","PWY-6703","preQ0 biosynthesis"
"1829","PWY-6704","L-ascorbate degradation IV"
"1830","PWY-6707","gallate biosynthesis"
"1831","PWY-6708","ubiquinol-8 biosynthesis (prokaryotic)"
"1832","PWY-6710","poly-hydroxy fatty acids biosynthesis"
"1833","PWY-6711","archaeosine biosynthesis"
"1834","PWY-6713","L-rhamnose degradation II"
"1835","PWY-6714","L-rhamnose degradation III"
"1836","PWY-6717","(1,4)-&beta;-xylan degradation"
"1837","PWY-6718","sulfoacetaldehyde degradation III"
"1838","PWY-6720","toyocamycin biosynthesis"
"1839","PWY-6721","sangivamycin biosynthesis"
"1840","PWY-6722","candicidin biosynthesis"
"1841","PWY-6724","starch degradation II"
"1842","PWY-6728","methylaspartate cycle"
"1843","PWY-6730","methylhalides biosynthesis (plants)"
"1844","PWY-6731","starch degradation III"
"1845","PWY-6733","sporopollenin precursors biosynthesis"
"1846","PWY-6735","starch degradation IV"
"1847","PWY-6736","sulfur volatiles biosynthesis"
"1848","PWY-6737","starch degradation V"
"1849","PWY-6738","pinitol biosynthesis I"
"1850","PWY-6739","pinitol biosynthesis II"
"1851","PWY-6742","methane oxidation to methanol II"
"1852","PWY-6744","hydrogen production I"
"1853","PWY-6745","phytochelatins biosynthesis"
"1854","PWY-6748","nitrate reduction VII (denitrification)"
"1855","PWY-6749","CMP-legionaminate biosynthesis I"
"1856","PWY-6751","superpathway of hydrogen production"
"1857","PWY-6752","o-diquinones biosynthesis"
"1858","PWY-6753","S-methyl-5'-thioadenosine degradation III"
"1859","PWY-6754","S-methyl-5'-thioadenosine degradation I"
"1860","PWY-6756","S-methyl-5'-thioadenosine degradation II"
"1861","PWY-6758","hydrogen production II"
"1862","PWY-6759","hydrogen production III"
"1863","PWY-6760","xylose degradation III"
"1864","PWY-6762","salicylate glucosides biosynthesis IV"
"1865","PWY-6763","salicortin biosynthesis"
"1866","PWY-6765","hydrogen production IV"
"1867","PWY-6766","salicin biosynthesis"
"1868","PWY-6767","4,4'-diapolycopenedioate biosynthesis"
"1869","PWY-6769","rhamnogalacturonan type I degradation I (fungi)"
"1870","PWY-6771","rhamnogalacturonan type I degradation II (bacteria)"
"1871","PWY-6772","hydrogen production V"
"1872","PWY-6773","callose biosynthesis"
"1873","PWY-6778","laminaribiose degradation"
"1874","PWY-6780","hydrogen production VI"
"1875","PWY-6781","chlorogenic acid degradation"
"1876","PWY-6784","cellulose and hemicellulose degradation (cellulolosome)"
"1877","PWY-6785","hydrogen production VIII"
"1878","PWY-6786","detoxification of reactive carbonyls in chloroplasts"
"1879","PWY-6787","flavonoid biosynthesis (in equisetum)"
"1880","PWY-6788","cellulose degradation II (fungi)"
"1881","PWY-6789","(1,3)-&beta;-D-xylan degradation"
"1882","PWY-6790","L-arabinan degradation"
"1883","PWY-6791","xyloglucan degradation I (endoglucanase)"
"1884","PWY-6792","scopoletin biosynthesis"
"1885","PWY-6794","adenosine 5'-phosphoramidate biosynthesis"
"1886","PWY-6795","diacylglyceryl-N,N,N-trimethylhomoserine biosynthesis"
"1887","PWY-6797","6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (archaea)"
"1888","PWY-6799","fatty acid biosynthesis (plant mitochondria)"
"1889","PWY-6801","volatile esters biosynthesis (during fruit ripening)"
"1890","PWY-6802","salidroside biosynthesis"
"1891","PWY-6803","phosphatidylcholine acyl editing"
"1892","PWY-6804","diacylglycerol biosynthesis (PUFA enrichment in oilseed)"
"1893","PWY-6805","cellulose degradation I (cellulosome)"
"1894","PWY-6806","carotenoid cleavage"
"1895","PWY-6807","xyloglucan degradation II (exoglucanase)"
"1896","PWY-6808","dTDP-D-forosamine biosynthesis"
"1897","PWY-6809","neoxanthin biosynthesis"
"1898","PWY-6812","xyloglucan degradation III (cellobiohydrolase)"
"1899","PWY-6813","glucuronoarabinoxylan degradation"
"1900","PWY-6815","porphyran degradation"
"1901","PWY-6816","agarose degradation"
"1902","PWY-6817","&lambda;-carrageenan degradation"
"1903","PWY-6818","ornithine lipid biosynthesis"
"1904","PWY-681","dibenzothiophene desulfurization"
"1905","PWY-6820","diphyllin biosynthesis"
"1906","PWY-6821","&kappa;-carrageenan degradation"
"1907","PWY-6822","&iota;-carrageenan degradation"
"1908","PWY-6823","molybdenum cofactor biosynthesis"
"1909","PWY-6824","justicidin B biosynthesis"
"1910","PWY-6825","phosphatidylcholine biosynthesis V"
"1911","PWY-6826","phosphatidylcholine biosynthesis VI"
"1912","PWY-6827","gellan degradation"
"1913","PWY-6828","linezolid resistance"
"1914","PWY-6829","tRNA methylation (yeast)"
"1915","PWY-6830","superpathway of methanogenesis"
"1916","PWY-6831","pyrrolnitrin biosynthesis"
"1917","PWY-6832","2-aminoethylphosphonate degradation II"
"1918","PWY-6834","spermidine biosynthesis III"
"1919","PWY-6835","6-gingerol biosynthesis"
"1920","PWY-6836","santalene biosynthesis II"
"1921","PWY-6837","fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)"
"1922","PWY-6839","2-aminoethylphosphonate biosynthesis"
"1923","PWY-6840","homoglutathione biosynthesis"
"1924","PWY-6841","homophytochelatin biosynthesis"
"1925","PWY-6842","glutathione-mediated detoxification II"
"1926","PWY-6845","nitric oxide biosynthesis (plants)"
"1927","PWY-6848","rutin degradation"
"1928","PWY-6852","senecionine N-oxide biosynthesis"
"1929","PWY-6853","ethylene biosynthesis II (microbes)"
"1930","PWY-6854","ethylene biosynthesis III (microbes)"
"1931","PWY-6855","chitin degradation I (archaea)"
"1932","PWY-6857","retinol biosynthesis"
